Requirement,Website,Tested version,CH01,CH02,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19
Python,https://www.python.org/,3.8,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X
NumPy,https://pypi.org/project/numpy/,1.18.1 ,X,X,X,,,,X,,X,X,X,X,X,X,,X,X,X,X
Matplotlib,https://pypi.org/project/matplotlib/,3.1.3,,,,X,,X,,,X,X,X,X,X,,,,,,
pandas,https://pypi.org/project/pandas/,1.0.1 ,,,,X,X,X,X,,,,,, ,,,,X,,
SciPy,https://pypi.org/project/scipy/,1.4.1 ,,,,,,,,,X,,,,,,,,,,
scikit-learn,https://pypi.org/project/scikit-learn/,0.22.1 ,,,X,X,X,X,X,,,,,,,,,,X,,
PyDotPlus,https://pypi.org/project/pydotplus/,2.0.2 ,,,X,,X,,,,,,,,,,,,,,
Google API,https://developers.google.com/docs/api/quickstart/python,N/A,,,,,,X,,,,,,,,,,,,,
html,https://pypi.org/project/html/,1.16,,,, ,,X,,,,,,,,,,,,,
TensorFlow 2,https://pypi.org/project/tensorflow/,2.1.0,,, ,, ,,,,X,X,X,X,X,,X,,X,,
Keras,https://pypi.org/project/Keras/,2.3.1 ,,,,,,,,,,X,X,X,X,,,,,,
Pillow,https://pypi.org/project/Pillow/,7.0.0 ,,,,,,,,,,X,X,X,  ,,,,,,
Imageio,https://pypi.org/project/imageio/,2.8.0,,,,,,,,,,,,,X,,,,,,
Pathlib,https://pypi.org/project/pathlib/,1.0.1,,,,,,,,,,,,,X,,,,,,
OpenCV-Python,https://pypi.org/project/opencv-python/,4.2.0.32,,,,,,,,,,,,,X,,,,,,
Google Dialogflow,https://dialogflow.com/,N/A,,,,,,,,,,,,,, ,X,,,,
DEAP,https://pypi.org/project/deap/,1.3.1 ,,,,,,,,,,,,,,,,,,,
bitstring,https://pypi.org/project/bitstring/,3.1.6 ,,,,,,,,,,,,,,,,,X,,
nengo,https://pypi.org/project/nengo/,3.0.0 ,,,,,,,,,,,,,,,,,,X,
nengo-gui,https://pypi.org/project/nengo-gui/,0.4.5 ,,,,,,,,,,,, ,,,,,,X,
IBM Q,https://www.research.ibm.com/ibm-q/,N/A,,,,,,,,,,,,,,,,,,,X
Quirk,http://algassert.com/2016/05/22/quirk.html,N/A,,,,,,,,,,,, ,,,,,,,X
Google Colaboratory,https://colab.research.google.com/,N/A,,,,,X,X,,,,,,,X,,,X,X,,
Jupyter Notebook,https://pypi.org/project/jupyterlab/,1.2.6,X,,X,,X,X,,,,,, ,X,,,X,X,,
